product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,img_link,product_link
B0B2DJDCPX,SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11 12 13 Pro max iPad Air/Mini iPod and iOS Devices (White),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,209,499,58%,3.9,536,[High Compatibility] : This iphone data cable supports with iPhone 66s6 plus6s plus7 7 plus 8 8plusxxs11 pro max12 mini pro max13 mini pro max iPad Air iPad mini iPod Nano and iPod Touch|[Fast Charge&Data Sync ] : It can charge and sync simultaneously at a rapid speed Compatible with any charging adaptor multi-port charging station or power bank for fast charging fast adapter is must.|😍【Durable Spring Protection】：The easy-to-break connection port is protected by spring which is a flexible and durable cable.You can use it with confidence.|【 Ultra High Quality】: According to the experimental results the fishbone design can accept at least 20000 bending and insertion tests for extra protection and durability. Upgraded 3D aluminum connector and exclusive laser welding technology which to ensure the metal part won't break and also have a tighter connection which fits well even with a protective case on and will never loose connection.|【 Good After Sales Service】-Our friendly and reliable customer service will respond to you within 24 hours ! you can purchase with confidenceand every sale includes a 365-day worry-free Service to prove the importance we set on quality.,https://m.media-amazon.com/images/I/41KmCJuybRL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/SWAPKART-Charging-Compatible-iPhone-Devices/dp/B0B2DJDCPX/ref=sr_1_465?qid=1672903018&s=computers&sr=1-465
B08Y7MXFMK,Offbeat® - DASH 2.4GHz Wireless + Bluetooth 5.1 Mouse Multi-Device Dual Mode Slim Rechargeable Silent Click Buttons Wireless Bluetooth Mouse 3 Adjustable DPI Works on 2 devices at the same time with a switch button for Windows/Mac/Android/Ipad/Smart TV,Computers&Accessories|Accessories&Peripherals|KeyboardsMice&InputDevices|Mice,1099,1499,27%,4.2,2375,► 【2.4G WIRELESS DUAL MODE AND BLUETOOTH 5.1】The upgraded version mouse with Dual Mode Connection and LED lights adds more fun to the boring office life. It can work on TWO DEVICES connecting one device through Bluetooth and the other through 2.4GHz USB Receiver. You could switch the mode between two devices by just toggle switching.2.4GHz mode works with laptop desktop or any device with USB port simply plug the USB receiver and play directly.|► 【 RECHARGEABLE AND ENERGY SAVING】 : The mouse built-in rechargeable battery with a charging cable. No need to change batteries. To save power and for long-term usage the mouse will automatically enter into the sleep mode after 11 minutes of inactivity it can be waken up by clicking any button.|► 【PLUG/PLAY AND ADJUSTABLE DPI】No need to install any driver just plug the USB receiver into your laptop and the mouse starts to serve. 2.4GHz wireless technology provides powerful and reliable connection effective up to 10 meters of range. Switch DPI levels among 800 1200 and 1600 to to meet your needs with high precision. Advanced Optical Tracking Technology ensures greater sensitivity for precise tracking on a wide range of surfaces.|► 【SILENT CLICK & ERGONOMIC DESIGN】Silent click Mouse with anti-fingerprint finish offers your hand maximum support and comfort. Silent button reduces 90% noises which makes it an ideal wireless mouse for office and personal use. Symmetric and ergonomic design makes this mouse fit for both left and right hand naturally curved grip of the mouse makes it comfortable and perfect avoids hand fatigue for long term use. Slim and portable design makes the mouse your best travel companion.,https://m.media-amazon.com/images/I/31dnZ234ZOL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Offbeat-Wireless-Bluetooth-Rechargeable-Adjustable/dp/B08Y7MXFMK/ref=sr_1_466?qid=1672903018&s=computers&sr=1-466
B086Q3QMFS,Classmate Drawing Book - Unruled 40 Pages 210 mm x 297 mm - Pack Of 4,OfficeProducts|OfficePaperProducts|Paper|Stationery|NotebooksWritingPads&Diaries|CompositionNotebooks,120,120,0%,4.5,4951,The cover design of the notebook is subject to change it depends on stock availability|Pack Of 4 - Unruled Drawing Book 40Pages 210 mm x 297 mm|Notebooks for every subject for hassle-free note-taking during classes or lectures.|Classmate uses elemental chlorine free paper|This notebook consists of quality papers,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41KFL-3kiUL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Classmate-Drawing-Book-Unruled-Pages/dp/B086Q3QMFS/ref=sr_1_468?qid=1672903018&s=computers&sr=1-468
B08498H13H,HP GK320 Wired Full Size RGB Backlight Mechanical Gaming Keyboard 4 LED Indicators Mechanical Switches Double Injection Key Caps and Windows Lock Key(4QN01AA),Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,1519,3499,57%,4.3,408,Convertible dynamic mixing can easily adjust the brightness and switch display modes and the variety of light eff ects are dazzling and exciting and your desire to fi ght is stimulated.|50 million times ultra-long lifetime mechanical switch A variety of mechanical buttons let you experience different knocks.|Matt double Injection Keycaps With a magnetic ring to eliminate interfering signals and transmission error|1 year manufacturer warranty on the device from the date of purchase.,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/414js-21FqL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/HP-GK320-Gaming-Keyboard-4QN01AA/dp/B08498H13H/ref=sr_1_469?qid=1672903018&s=computers&sr=1-469
B07LFQLKFZ,Parker Moments Vector Timecheck Gold Trim Roller Ball Pen (Black),OfficeProducts|OfficePaperProducts|Paper|Stationery|PensPencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens,420,420,0%,4.2,1926,Mode: Roller ball pen|Pen opening mechanism: Cap off/cap on|Ink color: Blue warranty: 2 years|Country of Origin: India,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31-wcLwDaBL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Parker-Moments-Vector-Timecheck-Roller/dp/B07LFQLKFZ/ref=sr_1_470?qid=1672903018&s=computers&sr=1-470
B00LY17RHI,Camlin Elegante Fountain Pen - Black/Blue/Red,OfficeProducts|OfficePaperProducts|Paper|Stationery|PensPencils&WritingSupplies|Pens&Refills|FountainPens,225,225,0%,4.1,4798,Handcrafted with Gold plated nib|Brass Cap Chrome body|Elegant design,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/21C8ziy-IJL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Camlin-Elegante-Fountain-Pen-Black/dp/B00LY17RHI/ref=sr_1_476?qid=1672903018&s=computers&sr=1-476
B07W14CHV8,CARECASE® Optical Bay 2nd Hard Drive Caddy 9.5 mm CD/DVD Drive Slot for SSD and HDD,Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,199,799,75%,4.1,7333,"Compatible 4 Channels switch help to improve the compatibility.You can try to move "" A""""B""""C""""D"" if your Laptop can not read HDD.|Compatible with: 2.5""/9.5mm SATA HDD or SSD Hard drive NOT include.100% Brand New 9.5 mm-thick caddy|Fully integrated into laptop no cables/PSU/software driver need.Fast & Reliable connection in laptop just as the primary HDD Make NTFS hard drive if you are using it as a New in Disk management|Supports 99% Laptops with 9.5mm size DVD Writers. Please email or call us if you have query regarding to compatibility with your Laptop|Replace with your current panel 2nd Hard Drive Bay for Laptops 9.5MM SATA to SATA Add a second hard drive to your laptop enlarge storage space Replace your current 9.5mm optical drive.",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51ca6eZ+j3L._SY300_SX300_.jpg,https://www.amazon.in/Optical-Drive-Caddy-Universal-9-5mm/dp/B07W14CHV8/ref=sr_1_483?qid=1672903019&s=computers&sr=1-483
B0B9BXKBC7,WeCool S5 Long Selfie Stick with Large Reinforced Tripod Stand up to 61 Inch / 156 Cms Ultra Long Multi Function Bluetooth Selfie Stick with 1/4 Screw Compatible with Gopro Camera and Ring Light,Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,1799,3999,55%,4.6,245,"64"" Tall Cell Phone Tripods with 7 section adjustable telescopic poles the phone selfie stick tripod stand is tall enough can be adjusted from 12in to 64in. Therefore this selfie stick for iPhone can capture a wider landscape with different Height|3 in 1 Design with Stable Base : Can be used as extendable Tripod for phone and camera as Phone Floor Stand. This Selfie Stick for iPhone can be quickly switched between the table tripod and selfie stick mode. Is compatible with gopro and Camera|360° Rotatable Selfie Stick Bluetooth : The mount of the tripod stand can freely rotate 360° which can be quickly ratoted the screen horizontally and vertically  and the mount arm can be 190°flipped to shoot pictures at various angles.|Compact Size and Travel Friendly : After Being folded  the long selfie stick is just 12 Inches. So it can be easily packed in your bag or Backpack without taking up more space. Perfecet choice for Travelling Hiking and Camping. Very Sturdy Design|Large ABS reinforced non-slip Stable tripod-The tripod is very stable when it is mounted with phone or camera standing on desktop or groundbecause it has non-slip silicone pads at the bottom of each foot and the lets have additional support|1/4 Screw Widely Compatible-The selfie stick comes with both a phone mount and a 1/4 screwcan be used at the same time.The 1/4 screw can be connected with Gopro digital camera and ring light.|The phone mount is compatible with most smartphones  support 360 degree rotation vertical and horizontal shooting  better for live stream  photo and video shooting  makeup  youtube watching",https://m.media-amazon.com/images/I/41fDM4QUfvL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/WeCool-Reinforced-Function-Bluetooth-Compatible/dp/B0B9BXKBC7/ref=sr_1_484?qid=1672903019&s=computers&sr=1-484
B09F5Z694W,Canon E4570 All-in-One Wi-Fi Ink Efficient Colour Printer with FAX/ADF/Duplex Printing (Black)- Smart Speaker Compatible Standard,Computers&Accessories|PrintersInks&Accessories|Printers|InkjetPrinters,8349,9625,13%,3.8,3652,Printer Type- Ink Efficient Functionality - All-in-One (Print Scan Copy Fax); Printer Output - Color; Connectivity - Wi-Fi Wi-fi Direct USB Canon Selphy App; Scanner Resolution - 600 x 1200dpi; Apple Airprint - Yes|OS Compatibility - Windows 10 / 8.1 / 7 SP1 (operation can only be guaranteed on a PC with a pre-installed Windows 7 or later) macOS v10.13.6 ~ 11.0 Chrome OS; Duplex - Auto; Enlarge/reduce option - No; Mobile connectivity - Yes|Maximum Print Speed (color) - 4.4 ppm Maximum Print Speed (Monochrome) - 8.8 ppm; Print cost Monochrome - 1.8; Print cost color - 4.5; Maximum Print Resolution - 4800 X 1200 dpi|Max paper thickness -64 to 275 GSM; Smart Speaker compatible; Power wattage of printer - OFF: 0.3W Standby (scanning lamp is off) (USB connection to PC): 0.8 W Copying (USB connection to PC): 7W|Ideal usage - Home and Small Office Regular usage (200 prints per month); Included Components - Printer Power cord 1set of PG47 & CL57s ink cartridge user manual installation CD USB cable|Print yield is based on the consumption data from the succeeding ink cartridge and not the first ink cartridge. Yield will be low if printing photos. Compatible Ink Cartridge - PG-47 (Black) CL-57s (Color) Print Yield - 400 prints (Black and White) 180 prints (Color) As per ISO/IEC 19752 ISO/IEC 19798;Use only original Canon Ink Cartridge. Using counterfeit ink will harm your printer and render the warranty void|Paper size (A4 A5 B5 LTR LGL Envelope (#10 DL) 10.16 x 15.24 cm (4 x 6in) 12.7 x 17.78 cm (5 x 7in) 20.32x 25.40 cm (8 x 10in) [Custom size] Width: 101.6 - 215.9 mm Length: 152.4 - 676 mm),https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31AZelC8URL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Canon-E4570-Efficient-Printing-Compatible/dp/B09F5Z694W/ref=sr_1_485?qid=1672903019&s=computers&sr=1-485
B0B25LQQPC,Crucial P3 500GB PCIe 3.0 3D NAND NVMe M.2 SSD up to 3500MB/s - CT500P3SSD8,Computers&Accessories|Components|InternalSolidStateDrives,3307,6100,46%,4.3,2515,Impressive read/ write speeds up to 3500/3000MB/s|Spacious storage up to 4TB|Solid Gen3 performance. Micron Advanced 3D NAND. NVMe PCIe 3.0 M.2 (2280).|Performs up to 45% better than the previous generation⁴|Dynamic write acceleration. Multistep data integrity algorithm.,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/318lV0rfJoL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Crucial-500GB-PCIe-NAND-3500MB/dp/B0B25LQQPC/ref=sr_1_486?qid=1672903019&s=computers&sr=1-486
